sheet,group,learning_path,course,section,lesson_name,video_url,source
Beginners,,,,2. General Information,What is IaaS?,https://vimeo.com/1044682886/b001a44ea2,vimeo
Beginners,,,,2. General Information,What is PaaS?,https://vimeo.com/1044683093,vimeo
Beginners,,,,2. General Information,What is SaaS?,https://vimeo.com/1044683364,vimeo
Beginners,,,,3. ERP Information,What is an ERP Application?,https://vimeo.com/1044683781,vimeo
Beginners,,,,3. ERP Information,The History of ERP Applications?,https://vimeo.com/1044684220,vimeo
Beginners,,,,3. ERP Information,The Rise of the Offshore Worker,https://vimeo.com/1044684864,vimeo
Beginners,,,,2. Oracle Cloud,2.1 - What is Oracle Cloud?,https://vimeo.com/1054816305,vimeo
Beginners,,,,2. Oracle Cloud,2.2 - Fusion Versus Oracle Cloud,https://vimeo.com/1059383079,vimeo
Beginners,,,,2. Oracle Cloud,2.3 - How and When was Oracle Cloud Created?,https://vimeo.com/1059384172,vimeo
Beginners,,,,2. Oracle Cloud,2.4 - How is Oracle Cloud Organized?,https://vimeo.com/1059384304,vimeo
Beginners,,,,2. Oracle Cloud,2.5 - How to Access Oracle Cloud Instances,https://vimeo.com/1059384360,vimeo
Beginners,,,,2. Oracle Cloud,2.6 - What are the End-User Training Options for Oracle Cloud?,https://vimeo.com/1059384406,vimeo
Beginners,,,,2. Oracle Cloud,2.7 - How is Oracle Cloud ERP secured?,https://vimeo.com/1059384472,vimeo
Beginners,,,,2. Oracle Cloud,2.8 - Is Oracle Cloud Multi-Tenancy?,https://vimeo.com/1054817015,vimeo
Beginners,,,,2. Oracle Cloud,2.9 - An Overview of Oracle Cloud Users,https://vimeo.com/1054820414,vimeo
Beginners,,,,3. Software as a Service,What is Oracle Cloud ERP Pillar?,https://vimeo.com/1054821492/7aef08c073,vimeo
Beginners,,,,5. Oracle Cloud Technologies,What is OTBI?,https://vimeo.com/1059388912/cfafc87f30,vimeo
Beginners,,,,2. Careers Overview,2.1 - How to Build a Career in ERP Apps from Anywhere,https://vimeo.com/1054834115/d4f3027c34,vimeo
Beginners,,,,2. Careers Overview,2.2 - The Best ERP Careers Options,https://vimeo.com/1054834062,vimeo
Beginners,,,,3. Operational Careers,3.1 - 6 Legit Jobs that Make Over 100K Remotely,https://vimeo.com/1054840909/e08c942d9b,vimeo
Beginners,,,,3. Operational Careers,3.2 - What is a Contract Administrator?,https://vimeo.com/1054835394,vimeo
Beginners,,,,3. Operational Careers,3.3 - What is a Commodity Buyer?,https://vimeo.com/1054835704,vimeo
Beginners,,,,3. Operational Careers,3.4 - What is a Category Manager?,https://vimeo.com/1054835523,vimeo
Beginners,,,,3. Operational Careers,3.5 - What is a Sourcing Specialist?,https://vimeo.com/1054835626,vimeo
Users - HCM,,,,3. Applications,Introducing OC's New Person Application,https://vimeo.com/998776195/4bd23bcb0b,vimeo
